name,store_id,월,화,수,목,금,토,일,영업구분
파파야리프 강남점,20815303,21:05,21:05,21:05,21:05,21:05,21:05,21:05,라스트오더
미엔아이 천등,1124870307,11:30,11:30,11:30,11:30,11:30,11:30,11:30,오픈
미엔아이 천등,1124870307,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
미엔아이 천등,1124870307,15:00,15:00,15:00,15:00,15:00,15:00,15:00,브레이크타임시작1
미엔아이 천등,1124870307,17:00,17:00,17:00,17:00,17:00,17:00,17:00,브레이크타임종료1
허머스키친,38500970,11:00,11:00,11:00,11:00,11:00,11:00,11:00,오픈
허머스키친,38500970,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
에이스크랩 강남직영점,1059565122,11:00,11:00,11:00,11:00,11:00,11:00,11:00,오픈
에이스크랩 강남직영점,1059565122,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
에이스크랩 강남직영점,1059565122,21:30,21:30,21:30,21:30,21:30,21:30,21:30,라스트오더
생어거스틴 역삼점,31514532,11:00,11:00,11:00,11:00,11:00,11:30,11:30,오픈
생어거스틴 역삼점,31514532,21:30,21:30,21:30,21:30,21:30,21:00,21:00,마감
생어거스틴 역삼점,31514532,14:20,14:20,14:20,14:20,14:20,,,브레이크타임시작1
생어거스틴 역삼점,31514532,17:00,17:00,17:00,17:00,17:00,,,브레이크타임종료1
생어거스틴 역삼점,31514532,20:50,20:50,20:50,20:50,20:50,20:20,20:20,라스트오더
탄탄면공방 파르나스몰 본점,1092599128,10:30,10:30,10:30,10:30,10:30,10:30,10:30,오픈
탄탄면공방 파르나스몰 본점,1092599128,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
탄탄면공방 파르나스몰 본점,1092599128,21:00,21:00,21:00,21:00,21:00,21:00,21:00,라스트오더
스트릿 SPC스퀘어점,1815698871,11:30,11:30,11:30,11:30,11:30,12:00,정기휴무 (매주 일요일),오픈
스트릿 SPC스퀘어점,1815698871,21:00,21:00,21:00,21:00,21:00,20:00,정기휴무 (매주 일요일),마감
생어거스틴 파르나스몰점,35769945,10:30,10:30,10:30,10:30,10:30,10:30,10:30,오픈
생어거스틴 파르나스몰점,35769945,21:30,21:30,21:30,21:30,21:30,21:30,21:30,마감
생어거스틴 파르나스몰점,35769945,20:45,20:45,20:45,20:45,20:45,20:45,20:45,라스트오더
피에프창 코엑스몰점,36166585,11:00,11:00,11:00,11:00,11:00,11:00,11:00,오픈
피에프창 코엑스몰점,36166585,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
피에프창 코엑스몰점,36166585,21:00,21:00,21:00,21:00,21:00,21:00,21:00,라스트오더
케르반 코엑스몰점,36166565,11:00,11:00,11:00,11:00,11:00,11:00,11:00,오픈
케르반 코엑스몰점,36166565,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
케르반 코엑스몰점,36166565,15:00,15:00,15:00,15:00,15:00,,,브레이크타임시작1
케르반 코엑스몰점,36166565,16:30,16:30,16:30,16:30,16:30,,,브레이크타임종료1
홋카이도여보,516591979,16:00,16:00,16:00,16:00,16:00,16:00,정기휴무 (매주 일요일),오픈
홋카이도여보,516591979,22:00,22:00,22:00,22:00,22:00,22:00,정기휴무 (매주 일요일),마감
홋카이도여보,516591979,21:00,21:00,21:00,21:00,21:00,21:00,정기휴무 (매주 일요일),라스트오더
이치류 선릉점,1254292631,17:00,17:00,17:00,17:00,17:00,16:00,16:00,오픈
이치류 선릉점,1254292631,22:30,22:30,22:30,22:30,22:30,22:00,22:00,마감
이치류 선릉점,1254292631,22:00,22:00,22:00,22:00,22:00,21:30,21:30,라스트오더
램가 역삼직영점,1742199523,16:00,16:00,16:00,16:00,16:00,15:00,정기휴무 (매주 일요일),오픈
램가 역삼직영점,1742199523,22:00,22:00,22:00,22:00,22:00,21:00,정기휴무 (매주 일요일),마감
램가 역삼직영점,1742199523,21:00,21:00,21:00,21:00,21:00,20:00,정기휴무 (매주 일요일),라스트오더
