name,store_id,amenity
우밀가 상록점,1511977717,단체 이용 가능
우밀가 상록점,1511977717,예약
우밀가 상록점,1511977717,포장
우밀가 상록점,1511977717,남/녀 화장실 구분
을밀대 역삼점,763758295,예약
을밀대 역삼점,763758295,주차
을밀대 역삼점,763758295,포장
을밀대 역삼점,763758295,남/녀 화장실 구분
진미평양냉면,37912785,주차
진미평양냉면,37912785,발렛파킹
우밀가 교대점,1770586833,단체 이용 가능
우밀가 교대점,1770586833,예약
우밀가 교대점,1770586833,주차
우밀가 교대점,1770586833,무선 인터넷
우밀가 교대점,1770586833,포장
우밀가 교대점,1770586833,남/녀 화장실 구분
경평면옥,1124965655,단체 이용 가능
경평면옥,1124965655,포장
경평면옥,1124965655,무선 인터넷
경평면옥,1124965655,예약
장인닭갈비 강남점,37792495,무선 인터넷
장인닭갈비 강남점,37792495,포장
장인닭갈비 강남점,37792495,남/녀 화장실 구분
장인닭갈비 강남점,37792495,단체 이용 가능
고수닭갈비,38562941,단체 이용 가능
고수닭갈비,38562941,무선 인터넷
고수닭갈비,38562941,남/녀 화장실 구분
닭갈비전,31110991,예약
닭갈비전,31110991,단체 이용 가능
닭갈비전,31110991,주차
닭갈비전,31110991,포장
닭갈비전,31110991,무선 인터넷
닭갈비전,31110991,남/녀 화장실 구분
닭갈비전,31110991,배달
한가네숯불닭갈비 역삼점,37641627,단체 이용 가능
한가네숯불닭갈비 역삼점,37641627,무선 인터넷
한가네숯불닭갈비 역삼점,37641627,남/녀 화장실 구분
한가네숯불닭갈비 역삼점,37641627,예약
유가네닭갈비 강남역점,38677017,예약
유가네닭갈비 강남역점,38677017,주차
유가네닭갈비 강남역점,38677017,포장
유가네닭갈비 강남역점,38677017,무선 인터넷
유가네닭갈비 강남역점,38677017,단체 이용 가능
본토닭갈비 강남점,1665839038,포장
본토닭갈비 강남점,1665839038,남/녀 화장실 구분
본토닭갈비 강남점,1665839038,무선 인터넷
본토닭갈비 강남점,1665839038,배달
본토닭갈비 강남점,1665839038,단체 이용 가능
본토닭갈비 강남점,1665839038,예약
본토닭갈비 강남점,1665839038,주차
닭갈비두목 역삼점,1747839887,단체 이용 가능
닭갈비두목 역삼점,1747839887,포장
닭갈비두목 역삼점,1747839887,무선 인터넷
강남숯불닭갈비 칸나닭집,1872266023,단체 이용 가능
강남숯불닭갈비 칸나닭집,1872266023,예약
강남숯불닭갈비 칸나닭집,1872266023,무선 인터넷
강남숯불닭갈비 칸나닭집,1872266023,배달
강남숯불닭갈비 칸나닭집,1872266023,포장
강남숯불닭갈비 칸나닭집,1872266023,남/녀 화장실 구분
배가무 닭볶음탕 대치본점,1787194642,배달
배가무 닭볶음탕 대치본점,1787194642,남/녀 화장실 구분
배가무 닭볶음탕 대치본점,1787194642,포장
배가무 닭볶음탕 대치본점,1787194642,무선 인터넷
배가무 닭볶음탕 대치본점,1787194642,단체 이용 가능
